status_pemeriksaan;durasi;sejarah_kredit;tujuan_kredit;jumlah kredit;status_tabungan;pekerjaan;komitmen_cicilan;status_pribadi;pihak_lain;lama_tinggal;nilai_properti;usia;rencana_pembayaran_lainnya;tempat_tinggal;kredit_yang_ada;pekerjaan;jumlah_tanggungan;memiliki_ponsel;pekerja_asing;kelas
tidak ada pemeriksaan;21;kredit penting/kredit lainnya;perabot/perlengkapan;2288;<100;<1;4;wanita bercerai/menikah;tidak ada;4;asuransi jiwa;23;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
0<=X<200;48;lunas seluruhnya;bisnis;3566;100;4;4;pria lajang;tidak ada;2;mobil;30;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
<0;6;kredit penting/kredit lainnya;mobil baru;860;<100;>=7;1;wanita bercerai/menikah;tidak ada;4;tidak diketahui;39;tidak ada;milik sendiri;2;terampil;1;ya;ya;baik
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;mobil baru;682;100;4;4;wanita bercerai/menikah;tidak ada;3;mobil;51;tidak ada;milik sendiri;2;terampil;1;ya;ya;baik
<0;36;kredit penting/kredit lainnya;perabot/perlengkapan;5371;<100;1;3;pria lajang;penjamin;2;asuransi jiwa;28;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;18;kredit penting/kredit lainnya;radio/tv;1582;>=1000;>=7;4;pria lajang;tidak ada;4;mobil;46;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;6;berbayar yang ada;radio/tv;1346;100;>=7;2;pria lajang;tidak ada;4;tidak diketahui;42;bank;gratis;1;terampil;2;ya;ya;baik
tidak ada pemeriksaan;10;berbayar yang ada;radio/tv;1924;<100;1;1;pria lajang;tidak ada;4;asuransi jiwa;38;tidak ada;milik sendiri;1;terampil;1;ya;tidak;baik
>=200;36;berbayar yang ada;radio/tv;5848;<100;1;4;pria lajang;tidak ada;1;mobil;24;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
0<=X<200;24;kredit penting/kredit lainnya;mobil bekas;7758;>=1000;>=7;2;wanita bercerai/menikah;tidak ada;4;tidak diketahui;29;tidak ada;sewa;1;terampil;1;tidak;ya;baik
0<=X<200;24;sebelumnya tertunda;bisnis;6967;100;4;4;pria lajang;tidak ada;4;mobil;36;tidak ada;sewa;1;kualifikasi tinggi;1;ya;ya;baik
<0;12;berbayar yang ada;perabot/perlengkapan;1282;<100;1;2;wanita bercerai/menikah;tidak ada;4;mobil;20;tidak ada;sewa;1;terampil;1;tidak;ya;buruk
<0;9;kredit penting/kredit lainnya;perbaikan;1288;100;>=7;3;pria lajang;penjamin;4;perumahan;48;tidak ada;milik sendiri;2;terampil;2;tidak;tidak;baik
<0;12;lunas seluruhnya;pengalihan karir;339;<100;>=7;4;pria menikah/duda;tidak ada;1;mobil;45;bank;milik sendiri;1;tidak terampil;1;tidak;ya;baik
0<=X<200;24;berbayar yang ada;mobil baru;3512;100;4;2;pria lajang;tidak ada;3;mobil;38;bank;milik sendiri;2;terampil;1;ya;ya;baik
tidak ada pemeriksaan;6;kredit penting/kredit lainnya;radio/tv;1898;tidak diketahui;1;1;pria lajang;tidak ada;2;perumahan;34;tidak ada;milik sendiri;2;tidak terampil;2;tidak;ya;baik
tidak ada pemeriksaan;24;kredit penting/kredit lainnya;radio/tv;2872;100;>=7;3;pria lajang;tidak ada;4;perumahan;36;tidak ada;milik sendiri;1;terampil;2;ya;ya;baik
tidak ada pemeriksaan;18;kredit penting/kredit lainnya;mobil baru;1055;<100;<1;4;wanita bercerai/menikah;tidak ada;1;asuransi jiwa;30;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;15;berbayar yang ada;peralatan rumah tangga;1262;500;4;4;pria lajang;tidak ada;3;asuransi jiwa;36;tidak ada;milik sendiri;2;terampil;1;ya;ya;baik
0<=X<200;10;berbayar yang ada;mobil baru;7308;<100;pengangguran;2;pria lajang;tidak ada;4;tidak diketahui;70;bank;gratis;1;kualifikasi tinggi;1;ya;ya;baik
tidak ada pemeriksaan;36;berbayar yang ada;mobil baru;909;500;>=7;4;pria lajang;tidak ada;4;asuransi jiwa;36;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;6;berbayar yang ada;perabot/perlengkapan;2978;500;1;1;pria lajang;tidak ada;2;mobil;32;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
<0;18;berbayar yang ada;perabot/perlengkapan;1131;<100;pengangguran;4;wanita bercerai/menikah;tidak ada;2;mobil;33;tidak ada;milik sendiri;1;terampil;1;tidak;ya;buruk
0<=X<200;11;berbayar yang ada;perabot/perlengkapan;1577;>=1000;<1;4;wanita bercerai/menikah;tidak ada;1;perumahan;20;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;24;berbayar yang ada;perabot/perlengkapan;3972;<100;4;2;wanita bercerai/menikah;tidak ada;4;asuransi jiwa;25;tidak ada;sewa;1;terampil;1;ya;ya;baik
0<=X<200;24;kredit penting/kredit lainnya;bisnis;1935;<100;>=7;4;pria bercerai;tidak ada;4;perumahan;31;tidak ada;milik sendiri;2;terampil;1;ya;ya;buruk
<0;15;tidak ada kredit/kredit lunas;mobil baru;950;<100;>=7;4;pria lajang;tidak ada;3;mobil;33;tidak ada;sewa;2;terampil;2;tidak;ya;buruk
tidak ada pemeriksaan;12;berbayar yang ada;perabot/perlengkapan;763;<100;1;4;wanita bercerai/menikah;tidak ada;1;perumahan;26;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
0<=X<200;24;sebelumnya tertunda;perabot/perlengkapan;2064;<100;pengangguran;3;wanita bercerai/menikah;tidak ada;2;asuransi jiwa;34;tidak ada;milik sendiri;1;kualifikasi tinggi;1;ya;ya;buruk
0<=X<200;8;berbayar yang ada;radio/tv;1414;<100;1;4;pria lajang;penjamin;2;perumahan;33;tidak ada;milik sendiri;1;terampil;1;tidak;tidak;baik
<0;21;sebelumnya tertunda;pendidikan;3414;<100;<1;2;pria lajang;tidak ada;1;asuransi jiwa;26;tidak ada;milik sendiri;2;terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;30;lunas seluruhnya;mobil bekas;7485;tidak diketahui;pengangguran;4;wanita bercerai/menikah;tidak ada;1;perumahan;53;bank;milik sendiri;1;kualifikasi tinggi;1;ya;ya;buruk
<0;12;berbayar yang ada;perabot/perlengkapan;2577;<100;1;2;pria bercerai;tidak ada;1;mobil;42;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
<0;6;kredit penting/kredit lainnya;radio/tv;338;500;>=7;4;pria lajang;tidak ada;4;mobil;52;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;12;berbayar yang ada;radio/tv;1963;<100;4;4;pria lajang;tidak ada;2;mobil;31;tidak ada;sewa;2;kualifikasi tinggi;2;ya;ya;baik
<0;21;kredit penting/kredit lainnya;mobil baru;571;<100;>=7;4;pria lajang;tidak ada;4;perumahan;65;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;36;sebelumnya tertunda;bisnis;9572;<100;<1;1;pria bercerai;tidak ada;1;mobil;28;tidak ada;milik sendiri;2;terampil;1;tidak;ya;buruk
0<=X<200;36;sebelumnya tertunda;bisnis;4455;<100;1;2;pria bercerai;tidak ada;2;perumahan;30;toko;milik sendiri;2;kualifikasi tinggi;1;ya;ya;buruk
<0;21;lunas seluruhnya;mobil baru;1647;tidak diketahui;1;4;pria lajang;tidak ada;2;asuransi jiwa;40;tidak ada;milik sendiri;2;tidak terampil;2;tidak;ya;buruk
tidak ada pemeriksaan;24;kredit penting/kredit lainnya;perabot/perlengkapan;3777;>=1000;1;4;pria lajang;tidak ada;4;perumahan;50;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
0<=X<200;18;kredit penting/kredit lainnya;mobil baru;884;<100;>=7;4;pria lajang;tidak ada;4;mobil;36;bank;milik sendiri;1;terampil;2;ya;ya;buruk
tidak ada pemeriksaan;15;kredit penting/kredit lainnya;radio/tv;1360;<100;1;4;pria lajang;tidak ada;2;asuransi jiwa;31;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
0<=X<200;9;lunas seluruhnya;mobil bekas;5129;<100;>=7;2;wanita bercerai/menikah;tidak ada;4;tidak diketahui;74;bank;gratis;1;kualifikasi tinggi;2;ya;ya;buruk
0<=X<200;16;kredit penting/kredit lainnya;mobil baru;1175;<100;pengangguran;2;pria lajang;tidak ada;3;mobil;68;tidak ada;gratis;3;unemp/tidak terampil non res;1;ya;ya;baik
<0;12;berbayar yang ada;radio/tv;674;100;4;4;pria menikah/duda;tidak ada;1;asuransi jiwa;20;tidak ada;milik sendiri;1;terampil;1;tidak;ya;buruk
0<=X<200;18;tidak ada kredit/kredit lunas;perabot/perlengkapan;3244;<100;1;1;wanita bercerai/menikah;tidak ada;4;mobil;33;bank;milik sendiri;2;terampil;1;ya;ya;baik
tidak ada pemeriksaan;24;berbayar yang ada;bisnis;4591;>=1000;1;2;pria lajang;tidak ada;3;asuransi jiwa;54;tidak ada;milik sendiri;3;kualifikasi tinggi;1;ya;ya;buruk
0<=X<200;48;tidak ada kredit/kredit lunas;bisnis;3844;100;4;4;pria lajang;tidak ada;4;tidak diketahui;34;tidak ada;gratis;1;tidak terampil;2;tidak;ya;buruk
0<=X<200;27;berbayar yang ada;bisnis;3915;<100;1;4;pria lajang;tidak ada;2;mobil;36;tidak ada;milik sendiri;1;terampil;2;ya;ya;buruk
tidak ada pemeriksaan;6;berbayar yang ada;radio/tv;2108;<100;4;2;pria menikah/duda;tidak ada;2;perumahan;29;tidak ada;sewa;1;terampil;1;tidak;ya;baik
0<=X<200;45;berbayar yang ada;radio/tv;3031;100;1;4;pria lajang;penjamin;4;asuransi jiwa;21;tidak ada;sewa;1;terampil;1;tidak;ya;buruk
0<=X<200;9;kredit penting/kredit lainnya;pendidikan;1501;<100;>=7;2;wanita bercerai/menikah;tidak ada;3;mobil;34;tidak ada;milik sendiri;2;kualifikasi tinggi;1;ya;ya;buruk
tidak ada pemeriksaan;6;kredit penting/kredit lainnya;radio/tv;1382;<100;1;1;wanita bercerai/menikah;tidak ada;1;mobil;28;tidak ada;milik sendiri;2;terampil;1;ya;ya;baik
0<=X<200;12;berbayar yang ada;perabot/perlengkapan;951;100;<1;4;wanita bercerai/menikah;tidak ada;4;mobil;27;bank;sewa;4;terampil;1;tidak;ya;buruk
0<=X<200;24;berbayar yang ada;mobil bekas;2760;tidak diketahui;>=7;4;pria lajang;tidak ada;4;tidak diketahui;36;bank;gratis;1;terampil;1;ya;ya;baik
0<=X<200;18;sebelumnya tertunda;perabot/perlengkapan;4297;<100;>=7;4;pria bercerai;tidak ada;3;tidak diketahui;40;tidak ada;milik sendiri;1;kualifikasi tinggi;1;ya;ya;buruk
tidak ada pemeriksaan;9;kredit penting/kredit lainnya;pendidikan;936;500;>=7;4;pria lajang;tidak ada;2;mobil;52;tidak ada;milik sendiri;2;terampil;1;ya;ya;baik
<0;12;berbayar yang ada;mobil baru;1168;<100;1;4;pria menikah/duda;tidak ada;3;perumahan;27;tidak ada;milik sendiri;1;tidak terampil;1;tidak;ya;baik
tidak ada pemeriksaan;27;sebelumnya tertunda;bisnis;5117;<100;4;3;pria lajang;tidak ada;4;mobil;26;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
<0;12;berbayar yang ada;pengalihan karir;902;<100;4;4;pria menikah/duda;tidak ada;4;asuransi jiwa;21;tidak ada;sewa;1;terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;mobil baru;1495;<100;>=7;4;pria lajang;tidak ada;1;perumahan;38;tidak ada;milik sendiri;2;tidak terampil;2;tidak;ya;baik
<0;30;kredit penting/kredit lainnya;mobil bekas;10623;<100;>=7;3;pria lajang;tidak ada;4;tidak diketahui;38;tidak ada;gratis;3;kualifikasi tinggi;2;ya;ya;baik
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;perabot/perlengkapan;1935;<100;>=7;4;pria lajang;tidak ada;4;perumahan;43;tidak ada;milik sendiri;3;terampil;1;ya;ya;baik
0<=X<200;12;kredit penting/kredit lainnya;peralatan rumah tangga;1424;<100;4;4;pria lajang;tidak ada;3;asuransi jiwa;26;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
<0;24;berbayar yang ada;bisnis;6568;<100;1;2;pria menikah/duda;tidak ada;2;mobil;21;toko;milik sendiri;1;tidak terampil;1;tidak;ya;baik
tidak ada pemeriksaan;12;berbayar yang ada;mobil bekas;1413;>=1000;4;3;pria lajang;tidak ada;2;asuransi jiwa;55;tidak ada;milik sendiri;1;terampil;1;tidak;tidak;baik
tidak ada pemeriksaan;9;kredit penting/kredit lainnya;radio/tv;3074;tidak diketahui;1;1;pria lajang;tidak ada;2;perumahan;33;tidak ada;milik sendiri;2;terampil;2;tidak;ya;baik
tidak ada pemeriksaan;36;berbayar yang ada;radio/tv;3835;tidak diketahui;>=7;2;wanita bercerai/menikah;tidak ada;4;perumahan;45;tidak ada;milik sendiri;1;tidak terampil;1;ya;ya;baik
<0;27;tidak ada kredit/kredit lunas;bisnis;5293;<100;pengangguran;2;pria lajang;tidak ada;4;asuransi jiwa;50;toko;milik sendiri;2;terampil;1;ya;ya;buruk
>=200;30;sebelumnya tertunda;bisnis;1908;<100;>=7;4;pria lajang;tidak ada;4;perumahan;66;tidak ada;milik sendiri;1;kualifikasi tinggi;1;ya;ya;buruk
tidak ada pemeriksaan;36;kredit penting/kredit lainnya;radio/tv;3342;tidak diketahui;>=7;4;pria lajang;tidak ada;2;mobil;51;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
0<=X<200;6;kredit penting/kredit lainnya;pengalihan karir;932;tidak diketahui;4;1;wanita bercerai/menikah;tidak ada;3;asuransi jiwa;39;tidak ada;milik sendiri;2;tidak terampil;1;tidak;ya;baik
<0;18;tidak ada kredit/kredit lunas;bisnis;3104;<100;4;3;pria lajang;tidak ada;1;asuransi jiwa;31;bank;milik sendiri;1;terampil;1;ya;ya;baik
>=200;36;berbayar yang ada;radio/tv;3913;<100;1;2;pria lajang;tidak ada;2;perumahan;23;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
<0;24;berbayar yang ada;perabot/perlengkapan;3021;<100;1;2;pria bercerai;tidak ada;2;perumahan;24;tidak ada;sewa;1;tidak terampil;1;tidak;ya;baik
tidak ada pemeriksaan;10;berbayar yang ada;mobil baru;1364;<100;1;2;wanita bercerai/menikah;tidak ada;4;mobil;64;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
0<=X<200;12;berbayar yang ada;radio/tv;625;<100;<1;4;pria menikah/duda;penjamin;1;perumahan;26;bank;milik sendiri;1;tidak terampil;1;tidak;ya;baik
<0;12;berbayar yang ada;pendidikan;1200;tidak diketahui;1;4;wanita bercerai/menikah;tidak ada;4;asuransi jiwa;23;bank;sewa;1;terampil;1;ya;ya;baik
tidak ada pemeriksaan;12;berbayar yang ada;radio/tv;707;<100;1;4;pria lajang;tidak ada;2;perumahan;30;bank;milik sendiri;2;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;24;sebelumnya tertunda;bisnis;2978;tidak diketahui;1;4;pria lajang;tidak ada;4;perumahan;32;tidak ada;milik sendiri;2;terampil;2;ya;ya;baik
tidak ada pemeriksaan;15;berbayar yang ada;mobil bekas;4657;<100;1;3;pria lajang;tidak ada;2;mobil;30;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
tidak ada pemeriksaan;36;tidak ada kredit/kredit lunas;perbaikan;2613;<100;1;4;pria lajang;tidak ada;2;mobil;27;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
0<=X<200;48;berbayar yang ada;radio/tv;10961;>=1000;4;1;pria lajang;pemohon bersama;2;tidak diketahui;27;bank;milik sendiri;2;terampil;1;ya;ya;buruk
<0;12;berbayar yang ada;perabot/perlengkapan;7865;<100;>=7;4;pria lajang;tidak ada;4;tidak diketahui;53;tidak ada;gratis;1;kualifikasi tinggi;1;ya;ya;buruk
tidak ada pemeriksaan;9;berbayar yang ada;radio/tv;1478;<100;4;4;pria lajang;tidak ada;2;mobil;22;tidak ada;milik sendiri;1;terampil;1;tidak;ya;buruk
<0;24;berbayar yang ada;perabot/perlengkapan;3149;<100;<1;4;pria lajang;tidak ada;1;tidak diketahui;22;bank;gratis;1;terampil;1;tidak;ya;baik
>=200;36;berbayar yang ada;radio/tv;4210;<100;1;4;pria lajang;tidak ada;2;mobil;26;tidak ada;milik sendiri;1;terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;9;berbayar yang ada;mobil baru;2507;500;>=7;2;pria lajang;tidak ada;4;tidak diketahui;51;tidak ada;gratis;1;tidak terampil;1;tidak;ya;baik
tidak ada pemeriksaan;12;berbayar yang ada;radio/tv;2141;100;4;3;pria lajang;tidak ada;1;tidak diketahui;35;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
0<=X<200;18;berbayar yang ada;radio/tv;866;<100;1;4;pria menikah/duda;penjamin;2;perumahan;25;tidak ada;milik sendiri;1;tidak terampil;1;tidak;ya;baik
tidak ada pemeriksaan;4;kredit penting/kredit lainnya;radio/tv;1544;<100;4;2;pria lajang;tidak ada;1;perumahan;42;tidak ada;milik sendiri;3;tidak terampil;2;tidak;ya;baik
<0;24;berbayar yang ada;radio/tv;1823;<100;pengangguran;4;pria lajang;tidak ada;2;mobil;30;toko;milik sendiri;1;kualifikasi tinggi;2;tidak;ya;buruk
0<=X<200;6;berbayar yang ada;mobil baru;14555;tidak diketahui;pengangguran;1;pria lajang;tidak ada;2;asuransi jiwa;23;tidak ada;milik sendiri;1;unemp/tidak terampil non res;1;ya;ya;buruk
0<=X<200;21;berbayar yang ada;bisnis;2767;100;>=7;4;pria bercerai;tidak ada;2;mobil;61;bank;sewa;2;tidak terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;radio/tv;1291;<100;1;4;wanita bercerai/menikah;tidak ada;2;asuransi jiwa;35;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
<0;30;berbayar yang ada;radio/tv;2522;<100;>=7;1;pria lajang;penjamin;3;asuransi jiwa;39;tidak ada;milik sendiri;1;terampil;2;tidak;ya;baik
<0;24;berbayar yang ada;mobil baru;915;tidak diketahui;>=7;4;wanita bercerai/menikah;tidak ada;2;mobil;29;bank;milik sendiri;1;terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;6;berbayar yang ada;radio/tv;1595;<100;4;3;pria lajang;tidak ada;2;asuransi jiwa;51;tidak ada;milik sendiri;1;terampil;2;tidak;ya;baik
<0;48;tidak ada kredit/kredit lunas;mobil bekas;4605;<100;>=7;3;pria lajang;tidak ada;4;tidak diketahui;24;tidak ada;gratis;2;terampil;2;tidak;ya;buruk
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;bisnis;1185;<100;1;3;wanita bercerai/menikah;tidak ada;2;perumahan;27;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;12;lunas seluruhnya;pengalihan karir;3447;500;1;4;wanita bercerai/menikah;tidak ada;3;perumahan;35;tidak ada;milik sendiri;1;tidak terampil;2;tidak;ya;baik
tidak ada pemeriksaan;24;berbayar yang ada;bisnis;1258;<100;4;4;pria lajang;tidak ada;1;perumahan;25;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;radio/tv;717;<100;>=7;4;pria lajang;tidak ada;4;perumahan;52;tidak ada;milik sendiri;3;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;6;tidak ada kredit/kredit lunas;mobil baru;1204;100;1;4;pria lajang;tidak ada;1;tidak diketahui;35;bank;sewa;1;terampil;1;tidak;tidak;baik
>=200;24;berbayar yang ada;perabot/perlengkapan;1925;<100;1;2;pria lajang;tidak ada;2;perumahan;26;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;18;berbayar yang ada;radio/tv;433;<100;pengangguran;3;wanita bercerai/menikah;pemohon bersama;4;perumahan;22;tidak ada;sewa;1;terampil;1;tidak;ya;buruk
<0;6;kredit penting/kredit lainnya;mobil baru;666;>=1000;4;3;wanita bercerai/menikah;tidak ada;4;perumahan;39;tidak ada;milik sendiri;2;tidak terampil;1;ya;ya;baik
>=200;12;berbayar yang ada;perabot/perlengkapan;2251;<100;1;1;wanita bercerai/menikah;tidak ada;2;mobil;46;tidak ada;milik sendiri;1;tidak terampil;1;tidak;ya;baik
0<=X<200;30;berbayar yang ada;mobil baru;2150;<100;1;4;wanita bercerai/menikah;penjamin;2;tidak diketahui;24;bank;milik sendiri;1;terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;24;sebelumnya tertunda;perabot/perlengkapan;4151;100;1;2;pria lajang;tidak ada;3;asuransi jiwa;35;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
0<=X<200;9;berbayar yang ada;perabot/perlengkapan;2030;tidak diketahui;4;2;pria lajang;tidak ada;1;mobil;24;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
0<=X<200;60;sebelumnya tertunda;radio/tv;7418;tidak diketahui;1;1;pria lajang;tidak ada;1;perumahan;27;tidak ada;milik sendiri;1;tidak terampil;1;tidak;ya;baik
tidak ada pemeriksaan;24;kredit penting/kredit lainnya;radio/tv;2684;<100;1;4;pria lajang;tidak ada;2;perumahan;35;tidak ada;milik sendiri;2;tidak terampil;1;tidak;ya;baik
<0;12;lunas seluruhnya;radio/tv;2149;<100;1;4;pria bercerai;tidak ada;1;tidak diketahui;29;tidak ada;gratis;1;terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;15;berbayar yang ada;mobil bekas;3812;100;<1;1;wanita bercerai/menikah;tidak ada;4;mobil;23;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
tidak ada pemeriksaan;11;kredit penting/kredit lainnya;radio/tv;1154;100;pengangguran;4;wanita bercerai/menikah;tidak ada;4;perumahan;57;tidak ada;milik sendiri;3;tidak terampil;1;tidak;ya;baik
<0;12;berbayar yang ada;perabot/perlengkapan;1657;<100;1;2;pria lajang;tidak ada;2;perumahan;27;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
<0;24;berbayar yang ada;radio/tv;1603;<100;>=7;4;wanita bercerai/menikah;tidak ada;4;mobil;55;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
<0;18;kredit penting/kredit lainnya;mobil baru;5302;<100;>=7;2;pria lajang;tidak ada;4;tidak diketahui;36;tidak ada;gratis;3;kualifikasi tinggi;1;ya;ya;baik
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;pendidikan;2748;<100;>=7;2;wanita bercerai/menikah;tidak ada;4;tidak diketahui;57;bank;gratis;3;tidak terampil;1;tidak;ya;baik
tidak ada pemeriksaan;10;kredit penting/kredit lainnya;mobil baru;1231;<100;>=7;3;pria lajang;tidak ada;4;perumahan;32;tidak ada;milik sendiri;2;tidak terampil;2;tidak;tidak;baik
0<=X<200;15;berbayar yang ada;radio/tv;802;<100;>=7;4;pria lajang;tidak ada;3;mobil;37;tidak ada;milik sendiri;1;terampil;2;tidak;ya;buruk
tidak ada pemeriksaan;36;kredit penting/kredit lainnya;bisnis;6304;tidak diketahui;>=7;4;pria lajang;tidak ada;4;perumahan;36;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;24;berbayar yang ada;radio/tv;1533;<100;<1;4;wanita bercerai/menikah;tidak ada;3;mobil;38;toko;milik sendiri;1;terampil;1;ya;ya;baik
<0;14;berbayar yang ada;mobil baru;8978;<100;>=7;1;pria bercerai;tidak ada;4;asuransi jiwa;45;tidak ada;milik sendiri;1;kualifikasi tinggi;1;ya;tidak;buruk
tidak ada pemeriksaan;24;berbayar yang ada;radio/tv;999;tidak diketahui;>=7;4;pria lajang;tidak ada;2;mobil;25;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;18;berbayar yang ada;mobil baru;2662;tidak diketahui;4;4;pria lajang;tidak ada;3;asuransi jiwa;32;tidak ada;milik sendiri;1;terampil;1;tidak;tidak;baik
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;perabot/perlengkapan;1402;500;4;3;wanita bercerai/menikah;tidak ada;4;mobil;37;tidak ada;sewa;1;terampil;1;ya;ya;baik
0<=X<200;48;lunas seluruhnya;mobil baru;12169;tidak diketahui;pengangguran;4;pria lajang;pemohon bersama;4;tidak diketahui;36;tidak ada;gratis;1;kualifikasi tinggi;1;ya;ya;baik
0<=X<200;48;berbayar yang ada;radio/tv;3060;<100;4;4;pria lajang;tidak ada;4;perumahan;28;tidak ada;milik sendiri;2;terampil;1;tidak;ya;buruk
<0;30;berbayar yang ada;perbaikan;11998;<100;<1;1;pria bercerai;tidak ada;1;tidak diketahui;34;tidak ada;milik sendiri;1;tidak terampil;1;ya;ya;buruk
tidak ada pemeriksaan;9;berbayar yang ada;radio/tv;2697;<100;1;1;pria lajang;tidak ada;2;perumahan;32;tidak ada;milik sendiri;1;terampil;2;tidak;ya;baik
tidak ada pemeriksaan;18;kredit penting/kredit lainnya;radio/tv;2404;<100;1;2;wanita bercerai/menikah;tidak ada;2;mobil;26;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
<0;12;berbayar yang ada;perabot/perlengkapan;1262;tidak diketahui;>=7;2;pria bercerai;tidak ada;4;asuransi jiwa;49;tidak ada;milik sendiri;1;tidak terampil;1;ya;ya;baik
tidak ada pemeriksaan;6;berbayar yang ada;perabot/perlengkapan;4611;<100;<1;1;wanita bercerai/menikah;tidak ada;4;asuransi jiwa;32;tidak ada;milik sendiri;1;terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;24;berbayar yang ada;radio/tv;1901;100;1;4;pria lajang;tidak ada;4;mobil;29;tidak ada;sewa;1;kualifikasi tinggi;1;ya;ya;baik
tidak ada pemeriksaan;15;kredit penting/kredit lainnya;mobil bekas;3368;>=1000;>=7;3;pria lajang;tidak ada;4;tidak diketahui;23;tidak ada;sewa;2;terampil;1;ya;ya;baik
tidak ada pemeriksaan;12;berbayar yang ada;perabot/perlengkapan;1574;<100;1;4;pria lajang;tidak ada;2;perumahan;50;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
>=200;18;lunas seluruhnya;radio/tv;1445;tidak diketahui;4;4;pria lajang;tidak ada;4;mobil;49;bank;milik sendiri;1;tidak terampil;1;tidak;ya;baik
tidak ada pemeriksaan;15;kredit penting/kredit lainnya;perabot/perlengkapan;1520;tidak diketahui;>=7;4;pria lajang;tidak ada;4;asuransi jiwa;63;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
0<=X<200;24;kredit penting/kredit lainnya;mobil baru;3878;100;<1;4;pria bercerai;tidak ada;2;mobil;37;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
<0;47;berbayar yang ada;mobil baru;10722;<100;<1;1;wanita bercerai/menikah;tidak ada;1;perumahan;35;tidak ada;milik sendiri;1;tidak terampil;1;ya;ya;baik
<0;48;berbayar yang ada;mobil bekas;4788;<100;4;4;pria lajang;tidak ada;3;asuransi jiwa;26;tidak ada;milik sendiri;1;terampil;2;tidak;ya;baik
0<=X<200;48;sebelumnya tertunda;lainnya;7582;100;pengangguran;2;pria lajang;tidak ada;4;tidak diketahui;31;tidak ada;gratis;1;kualifikasi tinggi;1;ya;ya;baik
0<=X<200;12;berbayar yang ada;radio/tv;1092;<100;1;4;wanita bercerai/menikah;penjamin;4;perumahan;49;tidak ada;milik sendiri;2;terampil;1;ya;ya;baik
